stem,orig_img,frag_img,gt_mask,iou_orig,iou_frag,chance_iou,niou_orig,niou_frag,score_orig,score_frag,noise_density,source_csv,norm_iou_orig,norm_iou_frag,delta_norm
COCO_val2014_000000318219_ann491276,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000318219.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000318219_ann491276_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000318219_ann491276_mask.png,0.4512569700406388,0.8900530139407029,0.3566153327338129,0.1470996157073011,0.829111584945793,0.9946967363357544,0.9741892218589784,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.14709961570730107,0.8291115849457927,-0.6820119692384916
COCO_val2014_000000318219_ann509155,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000318219.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000318219_ann509155_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000318219_ann509155_mask.png,0.5506860882415031,0.9360605936204278,0.1294430080935251,0.4838776600087691,0.9265534514408434,0.9939767718315125,0.967199444770813,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.48387766000876914,0.9265534514408434,-0.4426757914320743
COCO_val2014_000000318219_ann1115907,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000318219.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000318219_ann1115907_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000318219_ann1115907_mask.png,0.06047355828727,0.5101531432439292,0.034054631294964,0.027350332480732,0.4928834770306229,0.9684164524078368,0.9577831029891968,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.02735033248073201,0.49288347703062296,-0.465533144549891
COCO_val2014_000000318219_ann1116927,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000318219.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000318219_ann1116927_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000318219_ann1116927_mask.png,0.0002700270027002,0.0108093565926597,0.0285690197841726,0.0,0.0,0.7597642540931702,0.9928262233734132,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,-0.02913124386375353,-0.018281960893986673,-0.010849282969766859
COCO_val2014_000000318219_ann1969884,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000318219.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000318219_ann1969884_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000318219_ann1969884_mask.png,0.8120162464556671,0.9338649155722326,0.0337314523381295,0.8054539247922259,0.931556207031888,0.9884819984436036,0.9812662601470948,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.8054539247922259,0.9315562070318879,-0.12610228223966202
COCO_val2014_000000318219_ann1969971,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000318219.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000318219_ann1969971_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000318219_ann1969971_mask.png,0.7373737373737373,0.9588612311819944,0.0182329136690647,0.7324963667220188,0.958097221437979,0.963463306427002,0.977198362350464,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.7324963667220188,0.9580972214379792,-0.22560085471596036
COCO_val2014_000000554625_ann30093,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000554625.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000554625_ann30093_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000554625_ann30093_mask.png,0.4553933113518605,0.8549359044592966,0.0286384976525821,0.4393367584241001,0.8506590026574682,0.982239842414856,0.971684455871582,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.4393367584241,0.8506590026574682,-0.41132224423336816
COCO_val2014_000000554625_ann200698,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000554625.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000554625_ann200698_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000554625_ann200698_mask.png,0.4146160733582389,0.9064501160092808,0.1081279342723004,0.3436458555699549,0.8951084044611379,0.9941143989562988,0.9000929594039917,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.3436458555699551,0.895108404461138,-0.551462548891183
COCO_val2014_000000554625_ann215463,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000554625.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000554625_ann215463_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000554625_ann215463_mask.png,0.4675211185551995,0.8862301189282132,0.0230303697183098,0.4549688496547527,0.8835481907058017,0.8824983239173889,0.9519106149673462,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.4549688496547528,0.8835481907058017,-0.4285793410510489
COCO_val2014_000000554625_ann1115813,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000554625.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000554625_ann1115813_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000554625_ann1115813_mask.png,0.1027549288418853,0.5025289498203115,0.0280919894366197,0.0768209939559878,0.4881500669067206,0.9046051502227784,0.9495863914489746,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.07682099395598785,0.4881500669067206,-0.41132907295073273
