stem,orig_img,frag_img,gt_mask,iou_orig,iou_frag,chance_iou,niou_orig,niou_frag,score_orig,score_frag
COCO_val2014_000000391895_ann151091,outputs/assets/images/COCO_val2014_000000391895.png,outputs/stimuli/fragments/COCO_val2014_000000391895_ann151091_fragmented.png,outputs/assets/masks/COCO_val2014_000000391895_ann151091_mask.png,0.05458873748153013,0.05325197005948592,0.05287326388888889,0.0018112397499039537,0.0003998474081219491,0.9721623063087463,0.9986815452575684
COCO_val2014_000000391895_ann202758,outputs/assets/images/COCO_val2014_000000391895.png,outputs/stimuli/fragments/COCO_val2014_000000391895_ann202758_fragmented.png,outputs/assets/masks/COCO_val2014_000000391895_ann202758_mask.png,0.0026356114005516395,0.06190271238844775,0.06121527777777778,0.0,0.0007322601171466967,0.9308426380157471,0.9949909448623657
COCO_val2014_000000522418_ann455475,outputs/assets/images/COCO_val2014_000000522418.png,outputs/stimuli/fragments/COCO_val2014_000000522418_ann455475_fragmented.png,outputs/assets/masks/COCO_val2014_000000522418_ann455475_mask.png,0.0009188130742581714,0.20643258897899744,0.20567057291666666,0.0,0.0009593199450369102,0.9294631481170654,1.0007798671722412
COCO_val2014_000000522418_ann1085508,outputs/assets/images/COCO_val2014_000000522418.png,outputs/stimuli/fragments/COCO_val2014_000000522418_ann1085508_fragmented.png,outputs/assets/masks/COCO_val2014_000000522418_ann1085508_mask.png,0.9250212073472638,0.1794098770714368,0.17773111979166667,0.9088147509197487,0.002041615972800515,1.0004831552505493,0.9948270320892334
COCO_val2014_000000184613_ann72124,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann72124_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann72124_mask.png,0.9155139679956604,0.04296500732152649,0.04244047619047619,0.9117694201732514,0.0005477791385370244,0.9920020699501038,0.9859306812286377
COCO_val2014_000000184613_ann75495,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann75495_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann75495_mask.png,0.8639871850881026,0.038314480952876186,0.037279761904761906,0.8587203119558371,0.001074786845825006,0.9888321161270142,0.9918674230575562
COCO_val2014_000000184613_ann286024,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann286024_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann286024_mask.png,0.8594285714285714,0.061952244139163185,0.0610952380952381,0.8502814829842268,0.0009127720709249283,0.9931596517562866,0.9883642196655273
COCO_val2014_000000184613_ann1202318,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann1202318_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann1202318_mask.png,0.04066345639379347,0.06738648182326454,0.06675,0.0,0.0006820057040070015,0.9133406281471252,0.9895267486572266
COCO_val2014_000000184613_ann2177286,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann2177286_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann2177286_mask.png,0.9060501205829925,0.11121398682122072,0.11028571428571429,0.894404438677095,0.0010433377887837144,0.999146580696106,0.9666105508804321
COCO_val2014_000000184613_ann900100184613,outputs/assets/images/COCO_val2014_000000184613.png,outputs/stimuli/fragments/COCO_val2014_000000184613_ann900100184613_fragmented.png,outputs/assets/masks/COCO_val2014_000000184613_ann900100184613_mask.png,0.029630547979171834,0.04443427304975217,0.043916666666666666,0.0,0.0005413820794060887,0.9936912059783936,0.9864445924758911
COCO_val2014_000000318219_ann491276,outputs/assets/images/COCO_val2014_000000318219.png,outputs/stimuli/fragments/COCO_val2014_000000318219_ann491276_fragmented.png,outputs/assets/masks/COCO_val2014_000000318219_ann491276_mask.png,0.45125697004063886,0.3586007569154418,0.35661533273381296,0.1470996157073011,0.003085905341924178,0.9946967363357544,0.9867756366729736
